,ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
63,10548,I am a developer by profession,"Employed, full-time",Fully remote,School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,11,3,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,600000.0,Yearly,Bash/Shell;Go;HTML/CSS;JavaScript;Julia;TypeScript,C;Rust,MySQL,,AWS,,Angular,Angular,Capacitor;Cordova;Ionic,Capacitor;Ionic;TensorFlow,Docker;Homebrew;npm,,Sublime Text;Xcode,Sublime Text,macOS,Linux-based,Git,Command-line,,,ClickUp;Jira Work Management,,Google Chat,,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Prefer not to say,No,Prefer not to say,Prefer not to say,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,3.0,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Never,Never,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Somewhat short,Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Neither easy nor difficult,37932.0
64,10830,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Stack Overflow;Online forum;How-to videos,,11,8,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Project manager;Designer;System administrator",2 to 9 employees,I have a great deal of influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,South Africa,ZAR	South African rand,35000.0,Monthly,C#;Python;SQL,C;C#;C++;Python;SQL,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Google Cloud;Microsoft Azure,Google Cloud;Microsoft Azure,ASP.NET;ASP.NET Core ,ASP.NET;ASP.NET Core ,.NET;Xamarin,.NET;TensorFlow;Torch/PyTorch;Xamarin,Unity 3D,Unity 3D;Unreal Engine,Visual Studio,Visual Studio,Windows,Windows,Other (please specify):,Code editor,,,monday.com,,Microsoft Teams,Microsoft Teams,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,8.0,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Never,3-5 times a week,Never,Less than 15 minutes a day,60-120 minutes a day,Very long,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Yes,No,No,Appropriate in length,Easy,26556.0
65,10857,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague;Hackathons (virtual or in-person)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses",Udemy,25,18,"Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;Data or business analyst;Designer;Product manager;System administrator;Security professional",100 to 499 employees,I have a great deal of influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,600000.0,Yearly,Bash/Shell;JavaScript;Python;SQL;TypeScript,Bash/Shell;Python;SQL,PostgreSQL,PostgreSQL,,,Angular;FastAPI;jQuery;React.js,Angular;FastAPI,Electron,Electron,Ansible;npm,Ansible,Nano;Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Linux-based,Git,Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Google Chat,,Very favorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,35-44 years old,Man,No,Prefer to self-describe:,African,"Or, in your own words:","Or, in your own words:",No,,,,,,,,,,,,,,,,,,,,Too long,Easy,37932.0
66,10920,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, part-time",Full in-person,Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp",Technical documentation;Stack Overflow;Coding sessions (live or recorded),Udemy;Codecademy,2,1,"Developer, back-end;Developer, desktop or enterprise applications;System administrator",20 to 99 employees,I have some influence,Research companies that have advertised on sites I visit,South Africa,ZAR	South African rand,6000.0,Monthly,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,PostgreSQL,PostgreSQL,DigitalOcean,DigitalOcean,Django,Django;jQuery;React.js,,,,,Visual Studio,Visual Studio,Linux-based;Windows,Linux-based;Windows,Git,Command-line,,,,,Zoom,Zoom,Unsure,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,,25-34 years old,Man,No,Straight / Heterosexual,Biracial,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,4548.0
67,11053,I am a developer by profession,"Employed, full-time;Student, part-time","Hybrid (some remote, some in-person)",Hobby;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Stack Overflow;How-to videos,,9,,"Developer, full-stack;Student",,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,,,,HTML/CSS;JavaScript;Kotlin;Ruby,HTML/CSS;JavaScript;Ruby,MySQL;PostgreSQL,MySQL;PostgreSQL;Redis,,,Express;Node.js;Ruby on Rails;Vue.js,Node.js;Ruby on Rails;Vue.js,,,npm;Unity 3D,,IntelliJ;Rider,IntelliJ;Rider,Linux-based;Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Microsoft Teams;Slack,Microsoft Teams;Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White;African,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,1.0,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,Less than 15 minutes a day,Just right,DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,Yes,Appropriate in length,Easy,
68,12057,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;School (i.e., University, College, etc);On the job training",,,19,12,"Developer, back-end;Engineering manager",20 to 99 employees,I have a great deal of influence,Other (please specify):;Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,ZAR	South African rand,140000.0,Monthly,Ruby,Go;Ruby,Cassandra;Elasticsearch;PostgreSQL;Redis,Cassandra;Elasticsearch;PostgreSQL;Redis,AWS;Firebase,AWS;Firebase,Ruby on Rails,React.js;Ruby on Rails,,,Homebrew,Docker;Homebrew;Kubernetes;Unreal Engine,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,macOS,macOS,Git,Command-line,,,Notion;Trello,Notion,Slack;Zoom,Slack;Zoom,Favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,People manager,12.0,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Somewhat long,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,No,No,Appropriate in length,Easy,106212.0
69,12468,I code primarily as a hobby,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Technical documentation;Written Tutorials;Stack Overflow;Written-based Online Courses,,6,,,,,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,South Africa,,,,Dart;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,Dart;Elixir;Go;HTML/CSS;JavaScript;Perl;Ruby;Rust;SQL;TypeScript,PostgreSQL,PostgreSQL,DigitalOcean;Heroku,DigitalOcean;Heroku,Next.js;React.js;Ruby on Rails,Ruby on Rails;Svelte,Flutter,Flutter,npm;Yarn,Yarn,Android Studio;Vim;Visual Studio Code,Android Studio;Vim;Visual Studio Code,,Linux-based,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,,,Favorable,Stack Overflow,A few times per week,Not sure/can't remember,,"No, not really",Under 18 years old,Man,No,Bisexual,"White;Or, in your own words:;European",None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
70,12730,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague","Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos",edX,3,1,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","5,000 to 9,999 employees",I have some influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,11000.0,Monthly,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA,Kotlin;PowerShell;Swift,Microsoft SQL Server;SQLite,DynamoDB;MongoDB;SQLite,Microsoft Azure,AWS;DigitalOcean;Heroku;Microsoft Azure;VMware,Angular;ASP.NET Core ;Node.js,Angular;ASP.NET Core ;Blazor;Django;Express;Node.js;React.js;Vue.js,.NET;Electron,.NET;Electron;Flutter;Ionic,npm,Docker;Flow;Kubernetes;Unreal Engine,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,ClickUp;Trello,ClickUp;Jira Work Management;monday.com,Microsoft Teams,Microsoft Teams,Unsure,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,Yes,Independent contributor,3.0,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,60-120 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,No,No,No,Appropriate in length,Easy,8340.0
71,12889,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Programming Games;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Auditory material (e.g., podcasts);Interactive tutorial;Coding sessions (live or recorded);Certification videos",edX,5,1,"Developer, front-end;Educator;Product manager",10 to 19 employees,I have some influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,132000.0,Yearly,HTML/CSS;Java;JavaScript;PHP;SQL,Bash/Shell;C#;Go;Java;JavaScript;Kotlin;Python;Scala;TypeScript,MySQL,Cassandra;MongoDB;PostgreSQL,AWS;Heroku,Firebase,Nuxt.js;Vue.js,Laravel;Nuxt.js;React.js,Spring,.NET;Spring,npm,Docker;Homebrew,IntelliJ;Sublime Text;Visual Studio Code,Android Studio;IntelliJ;Sublime Text;Visual Studio Code,macOS;Windows,Windows,Git,Command-line,,,Notion;Trello,Notion;Trello,Microsoft Teams;Slack;Zoom,Slack,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Multiracial,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,1.0,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,6-10 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,Somewhat short,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Yes,Yes,No,Appropriate in length,Easy,8345.0
72,13027,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague;Hackathons (virtual or in-person)",Technical documentation;Blogs;Stack Overflow;Online books;How-to videos;Interactive tutorial,,11,5,Data scientist or machine learning specialist;Student;Academic researcher;Cloud infrastructure engineer;Scientist,20 to 99 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,100000.0,Monthly,C++;SAS,Python;R;SQL,MySQL;SQLite,MySQL;Neo4j;SQLite,AWS;Google Cloud,AWS;Google Cloud;Heroku,FastAPI;Flask,FastAPI;Flask,Keras;NumPy;Pandas;Scikit-learn;Tidyverse;TensorFlow,Keras;NumPy;Pandas;Qt;Scikit-learn;Tidyverse;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes,RStudio;Visual Studio;Visual Studio Code,RStudio;Visual Studio;Visual Studio Code,Linux-based;macOS,Linux-based;Windows,Git,Command-line,,,,,Slack,Slack,Unfavorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,,Yes,Independent contributor,1.0,,,,,,,,,,,15-30 minutes a day,Over 120 minutes a day,Somewhat short,DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,No,No,No,Too long,Neither easy nor difficult,75864.0
73,13506,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online forum,,20,6,"Developer, back-end",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,ZAR	South African rand,60000.0,Monthly,C#;C++;Python,Rust,Oracle,,Microsoft Azure,,,,,,,,Vim;Visual Studio;Visual Studio Code,Vim;Visual Studio;Visual Studio Code,Windows,Windows,Git;SVN,Command-line,,,,,Microsoft Teams,,Very unfavorable,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",25-34 years old,Woman,Yes,Straight / Heterosexual,European,None of the above,None of the above,Yes,Independent contributor,6.0,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,Over 120 minutes a day,Very long,Continuous integration (CI) and (more often) continuous delivery,Yes,Yes,Yes,Appropriate in length,Easy,45516.0
74,13667,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Full in-person,Other (please specify):,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos,,4,3,"Developer, mobile","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,,,Kotlin,,Firebase Realtime Database,Firebase Realtime Database,Firebase,,,,,,,,Android Studio;Eclipse;IntelliJ,Android Studio;Eclipse;IntelliJ,Windows,Windows,Git,Command-line,,,,,Slack,,Unsure,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
75,14192,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Online forum,Coursera;Udemy;edX,8,3,"Developer, full-stack;DevOps specialist",100 to 499 employees,I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,South Africa,ZAR	South African rand,,Monthly,Assembly;Bash/Shell;Kotlin;Python;Rust;TypeScript,Bash/Shell;Python;Rust;TypeScript,MariaDB;MongoDB;Neo4j;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis,Microsoft Azure,,Angular;Django,Angular;Deno,Apache Kafka;Ionic;Spring,Apache Kafka,Ansible;Docker;npm,Ansible;Docker,Android Studio;CLion;Visual Studio Code,Emacs,Linux-based,Linux-based;Windows,Git,Command-line,,,,,,,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,No,,"No, not at all",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Yes,Independent contributor,3.0,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Just right,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Observability tools,No,Yes,Yes,Appropriate in length,Easy,
76,14425,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague","Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Coding sessions (live or recorded)",,24,20,"Engineer, data;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer;Data or business analyst",2 to 9 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,130000.0,Monthly,Bash/Shell;Clojure;HTML/CSS;Java;Python,Bash/Shell;Clojure;HTML/CSS;Java,,,AWS;Google Cloud,AWS,React.js,React.js,Apache Kafka,Apache Kafka;Electron,Docker;Homebrew;Kubernetes;npm,Ansible;Docker;Terraform,Atom;Emacs;Nano;Visual Studio Code,Emacs,Linux-based,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Notion;Trello,,Slack;Zoom,,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,21.0,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,60-120 minutes a day,30-60 minutes a day,Somewhat short,Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,No,Yes,Appropriate in length,Neither easy nor difficult,98628.0
77,14514,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc);Online Courses or Certification",,Other,5,2,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,ZAR	South African rand,35000.0,Monthly,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,C#;Dart;Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Firebase;Heroku;Microsoft Azure,AWS;Heroku;Linode;Microsoft Azure,Angular;ASP.NET;ASP.NET Core ;jQuery;Next.js;React.js,Angular;ASP.NET;ASP.NET Core ;Express;Next.js;Node.js;React.js,.NET;Pandas,.NET;Flutter;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Kubernetes;npm;Yarn,Docker;Kubernetes;Yarn,Android Studio;IntelliJ;NetBeans;Notepad++;PyCharm;Rider;Vim;Visual Studio;Visual Studio Code;Webstorm,Android Studio;GoLand;Notepad++;PyCharm;Rider;Vim;Visual Studio;Visual Studio Code;Webstorm,Windows,Linux-based;Windows,Git,Code editor;Command-line,,,,,Microsoft Teams;Slack,Microsoft Teams;Slack,Favorable,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,African;Black,None of the above,None of the above,Yes,Independent contributor,,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Never,Never,Never,30-60 minutes a day,30-60 minutes a day,Just right,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Yes,Yes,Yes,Appropriate in length,Easy,26556.0
78,14594,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects;Bootstrapping a business,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training",Technical documentation;Stack Overflow;Online books;How-to videos,,6,6,"Developer, full-stack",2 to 9 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,ZAR	South African rand,34000.0,Monthly,C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,C#;HTML/CSS;Rust;TypeScript,Cloud Firestore;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,PostgreSQL,AWS;Firebase;Google Cloud,Google Cloud,Angular;Svelte,Svelte,.NET;Spring,.NET,Docker;Kubernetes;npm,Kubernetes;npm,IntelliJ;NetBeans;Rider;Visual Studio;Visual Studio Code;Webstorm,Rider;Webstorm,Windows,Windows,Git,Code editor;Command-line,,,ClickUp;Jira Work Management,ClickUp,Google Chat;Slack,Google Chat,Indifferent,Stack Overflow,A few times per week,Not sure/can't remember,,"No, not really",25-34 years old,"Or, in your own words:","Or, in your own words:",Prefer to self-describe:,White;African,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Yes,Independent contributor,5.0,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,3-5 times a week,6-10 times a week,Never,15-30 minutes a day,30-60 minutes a day,Somewhat long,Microservices,Yes,No,Yes,Appropriate in length,Neither easy nor difficult,25788.0
79,14898,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","School (i.e., University, College, etc)",,,11,3,"Developer, back-end",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,ZAR	South African rand,,Monthly,C#;F#;Python;R,C#;Dart;F#;Go;Python;R;Rust,,,Microsoft Azure,AWS;DigitalOcean;Microsoft Azure,Blazor,Blazor,.NET;NumPy;Pandas,.NET;NumPy;Pandas;Tidyverse,Docker,Docker,Notepad++;PyCharm;Rider;RStudio;Visual Studio;Visual Studio Code,Notepad++;PyCharm;Rider;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line,,,Microsoft Planner;Microsoft Lists,Microsoft Planner;Microsoft Lists,Slack,Slack,Very unfavorable,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,I have an anxiety disorder,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
